abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,Tiny Bird Pok¨¦mon,30,1000000,0.3,40,Onisuzume¥ª¥Ë¥¹¥º¥á,Spearow,50,21,31,31,70,normal,flying,2,1,0
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,Beak Pok¨¦mon,65,1000000,1.2,65,Onidrill¥ª¥Ë¥É¥ê¥ë,Fearow,50,22,61,61,100,normal,flying,38,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,Snake Pok¨¦mon,44,1000000,2,35,Arbo¥¢©`¥Ü,Ekans,50,23,40,54,55,poison,,6.9,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,Cobra Pok¨¦mon,69,1000000,3.5,60,Arbok¥¢©`¥Ü¥Ã¥¯,Arbok,50,24,65,79,80,poison,,65,1,0
"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,Mouse Pok¨¦mon,40,1000000,0.4,35,Pikachu¥Ô¥«¥Á¥å¥¦,Pikachu,50,25,50,50,90,electric,,6,1,0
"['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,Mouse Pok¨¦mon,50,1000000,,60,Raichu¥é¥¤¥Á¥å¥¦,Raichu,50,26,95,85,110,electric,electric,,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,Mouse Pok¨¦mon,90,1000000,,50,Sand¥µ¥ó¥É,Sandshrew,50,27,10,35,40,ground,ice,,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,Mouse Pok¨¦mon,120,1000000,,75,Sandpan¥µ¥ó¥É¥Ñ¥ó,Sandslash,50,28,25,65,65,ground,ice,,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,Poison Pin Pok¨¦mon,52,1059860,0.4,55,Nidoran?¥Ë¥É¥é¥ó¡â,Nidoran¡â,0,29,40,40,41,poison,,7,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,Poison Pin Pok¨¦mon,67,1059860,0.8,70,Nidorina¥Ë¥É¥ê©`¥Ê,Nidorina,0,30,55,55,56,poison,,20,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,Drill Pok¨¦mon,87,1059860,1.3,90,Nidoqueen¥Ë¥É¥¯¥¤¥ó,Nidoqueen,0,31,75,85,76,poison,ground,60,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,Poison Pin Pok¨¦mon,40,1059860,0.5,46,Nidoran?¥Ë¥É¥é¥ó¡á,Nidoran¡á,100,32,40,40,50,poison,,9,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,Poison Pin Pok¨¦mon,57,1059860,0.9,61,Nidorino¥Ë¥É¥ê©`¥Î,Nidorino,100,33,55,55,65,poison,,19.5,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,Drill Pok¨¦mon,77,1059860,1.4,81,Nidoking¥Ë¥É¥­¥ó¥°,Nidoking,100,34,85,75,85,poison,ground,62,1,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,Fairy Pok¨¦mon,48,800000,0.6,70,Pippi¥Ô¥Ã¥Ô,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,Fairy Pok¨¦mon,73,800000,1.3,95,Pixy¥Ô¥¯¥·©`,Clefable,24.6,36,95,90,60,fairy,,40,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,Fox Pok¨¦mon,40,1000000,,38,Rokon¥í¥³¥ó,Vulpix,24.6,37,50,65,65,fire,ice,,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,Fox Pok¨¦mon,75,1000000,,73,Kyukon¥­¥å¥¦¥³¥ó,Ninetales,24.6,38,81,100,109,fire,ice,,1,0
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,Balloon Pok¨¦mon,20,800000,0.5,115,Purin¥×¥ê¥ó,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,Balloon Pok¨¦mon,45,800000,1,140,Pukurin¥×¥¯¥ê¥ó,Wigglytuff,24.6,40,85,50,45,normal,fairy,12,1,0
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,Bat Pok¨¦mon,35,1000000,0.8,40,Zubat¥º¥Ð¥Ã¥È,Zubat,50,41,30,40,55,poison,flying,7.5,1,0
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,Bat Pok¨¦mon,70,1000000,1.6,75,Golbat¥´¥ë¥Ð¥Ã¥È,Golbat,50,42,65,75,90,poison,flying,55,1,0
"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,Weed Pok¨¦mon,55,1059860,0.5,45,Nazonokusa¥Ê¥¾¥Î¥¯¥µ,Oddish,50,43,75,65,30,grass,poison,5.4,1,0
"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,Weed Pok¨¦mon,70,1059860,0.8,60,Kusaihana¥¯¥µ¥¤¥Ï¥Ê,Gloom,50,44,85,75,40,grass,poison,8.6,1,0
"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,Flower Pok¨¦mon,85,1059860,1.2,75,Ruffresia¥é¥Õ¥ì¥·¥¢,Vileplume,50,45,110,90,50,grass,poison,18.6,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,Mushroom Pok¨¦mon,55,1000000,0.3,35,Paras¥Ñ¥é¥¹,Paras,50,46,45,55,25,bug,grass,5.4,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,Mushroom Pok¨¦mon,80,1000000,1,60,Parasect¥Ñ¥é¥»¥¯¥È,Parasect,50,47,60,80,30,bug,grass,29.5,1,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,Insect Pok¨¦mon,50,1000000,1,60,Kongpang¥³¥ó¥Ñ¥ó,Venonat,50,48,40,55,45,bug,poison,30,1,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,Poison Moth Pok¨¦mon,60,1000000,1.5,70,Morphon¥â¥ë¥Õ¥©¥ó,Venomoth,50,49,90,75,90,bug,poison,12.5,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,Mole Pok¨¦mon,30,1000000,,10,Digda¥Ç¥£¥°¥À,Diglett,50,50,35,45,90,ground,ground,,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,Mole Pok¨¦mon,60,1000000,,35,Dugtrio¥À¥°¥È¥ê¥ª,Dugtrio,50,51,50,70,110,ground,ground,,1,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,Scratch Cat Pok¨¦mon,35,1000000,,40,Nyarth¥Ë¥ã©`¥¹,Meowth,50,52,50,40,90,normal,dark,,1,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,Classy Cat Pok¨¦mon,60,1000000,,65,Persian¥Ú¥ë¥·¥¢¥ó,Persian,50,53,75,65,115,normal,dark,,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,Duck Pok¨¦mon,48,1000000,0.8,50,Koduck¥³¥À¥Ã¥¯,Psyduck,50,54,65,50,55,water,,19.6,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,Duck Pok¨¦mon,78,1000000,1.7,80,Golduck¥´¥ë¥À¥Ã¥¯,Golduck,50,55,95,80,85,water,,76.6,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,Pig Monkey Pok¨¦mon,35,1000000,0.5,40,Mankey¥Þ¥ó¥­©`,Mankey,50,56,35,45,70,fighting,,28,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,75,Pig Monkey Pok¨¦mon,60,1000000,1,65,Okorizaru¥ª¥³¥ê¥¶¥ë,Primeape,50,57,60,70,95,fighting,,32,1,0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,190,Puppy Pok¨¦mon,45,1250000,0.7,55,Gardie¥¬©`¥Ç¥£,Growlithe,75.4,58,70,50,60,fire,,19,1,0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,Legendary Pok¨¦mon,80,1250000,1.9,90,Windie¥¦¥¤¥ó¥Ç¥£,Arcanine,75.4,59,100,80,95,fire,,155,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,Tadpole Pok¨¦mon,40,1059860,0.6,40,Nyoromo¥Ë¥ç¥í¥â,Poliwag,50,60,40,40,90,water,,12.4,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,Tadpole Pok¨¦mon,65,1059860,1,65,Nyorozo¥Ë¥ç¥í¥¾,Poliwhirl,50,61,50,50,90,water,,20,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pok¨¦mon,95,1059860,1.3,90,Nyorobon¥Ë¥ç¥í¥Ü¥ó,Poliwrath,50,62,70,90,70,water,fighting,54,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,Psi Pok¨¦mon,15,1059860,0.9,25,Casey¥±©`¥·¥£,Abra,75.4,63,105,55,90,psychic,,19.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,100,Psi Pok¨¦mon,30,1059860,1.3,40,Yungerer¥æ¥ó¥²¥é©`,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,Psi Pok¨¦mon,65,1059860,1.5,55,Foodin¥Õ©`¥Ç¥£¥ó,Alakazam,75.4,65,175,105,150,psychic,,48,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,Superpower Pok¨¦mon,50,1059860,0.8,70,Wanriky¥ï¥ó¥ê¥­©`,Machop,75.4,66,35,35,35,fighting,,19.5,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,405,90,Superpower Pok¨¦mon,70,1059860,1.5,80,Goriky¥´©`¥ê¥­©`,Machoke,75.4,67,50,60,45,fighting,,70.5,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,505,45,Superpower Pok¨¦mon,80,1059860,1.6,90,Kairiky¥«¥¤¥ê¥­©`,Machamp,75.4,68,65,85,55,fighting,,130,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,Flower Pok¨¦mon,35,1059860,0.7,50,Madatsubomi¥Þ¥À¥Ä¥Ü¥ß,Bellsprout,50,69,70,30,40,grass,poison,4,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,390,120,Flycatcher Pok¨¦mon,50,1059860,1,65,Utsudon¥¦¥Ä¥É¥ó,Weepinbell,50,70,85,45,55,grass,poison,6.4,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,490,45,Flycatcher Pok¨¦mon,65,1059860,1.7,80,Utsubot¥¦¥Ä¥Ü¥Ã¥È,Victreebel,50,71,100,70,70,grass,poison,15.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,335,190,Jellyfish Pok¨¦mon,35,1250000,0.9,40,Menokurage¥á¥Î¥¯¥é¥²,Tentacool,50,72,50,100,70,water,poison,45.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,515,60,Jellyfish Pok¨¦mon,65,1250000,1.6,80,Dokukurage¥É¥¯¥¯¥é¥²,Tentacruel,50,73,80,120,100,water,poison,55,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,Rock Pok¨¦mon,100,1059860,,40,Isitsubute¥¤¥·¥Ä¥Ö¥Æ,Geodude,50,74,30,30,20,rock,ground,,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,Rock Pok¨¦mon,115,1059860,,55,Golone¥´¥í©`¥ó,Graveler,50,75,45,45,35,rock,ground,,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,495,45,Megaton Pok¨¦mon,130,1059860,,80,Golonya¥´¥í©`¥Ë¥ã,Golem,50,76,55,65,45,rock,ground,,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,410,190,Fire Horse Pok¨¦mon,55,1000000,1,50,Ponyta¥Ý¥Ë©`¥¿,Ponyta,50,77,65,65,90,fire,,30,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,500,60,Fire Horse Pok¨¦mon,70,1000000,1.7,65,Gallop¥®¥ã¥í¥Ã¥×,Rapidash,50,78,80,80,105,fire,,95,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,Dopey Pok¨¦mon,65,1000000,1.2,90,Yadon¥ä¥É¥ó,Slowpoke,50,79,40,40,15,water,psychic,36,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,590,75,Hermit Crab Pok¨¦mon,180,1000000,1.6,95,Yadoran¥ä¥É¥é¥ó,Slowbro,50,80,130,80,30,water,psychic,78.5,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,325,190,Magnet Pok¨¦mon,70,1000000,0.3,25,Coil¥³¥¤¥ë,Magnemite,,81,95,55,45,electric,steel,6,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,465,60,Magnet Pok¨¦mon,95,1000000,1,50,Rarecoil¥ì¥¢¥³¥¤¥ë,Magneton,,82,120,70,70,electric,steel,60,1,0
"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,5120,70,377,45,Wild Duck Pok¨¦mon,55,1000000,0.8,52,Kamonegi¥«¥â¥Í¥®,Farfetch'd,50,83,58,62,60,normal,flying,15,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,Twin Bird Pok¨¦mon,45,1000000,1.4,35,Dodo¥É©`¥É©`,Doduo,50,84,35,35,75,normal,flying,39.2,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,Triple Bird Pok¨¦mon,70,1000000,1.8,60,Dodorio¥É©`¥É¥ê¥ª,Dodrio,50,85,60,60,110,normal,flying,85.2,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,325,190,Sea Lion Pok¨¦mon,55,1000000,1.1,65,Pawou¥Ñ¥¦¥ï¥¦,Seel,50,86,45,70,45,water,,90,1,0
